book_name,count,author,genre,isbn,isbn13,good_reads_url,num_pages,num_rating,avg_rating
No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,758,Owen; Mark,fiction,0525953728,9780525953722,316,33477.0,3.93
The Sun Also Rises,755,Hemingway; Ernest,fiction,0743297334,9780743297332,256,268427.0,3.83
Quiet: The Power of Introverts in a World That Can't Stop Talking,751,Cain; Susan,non-fiction,0307352145,9780307352149,352,177929.0,4.02
The Curious Incident of the Dog in the Night-Time,751,Haddon; Mark,fiction,1400032717,9781400032716,226,828321.0,3.84
Where the Wild Things Are,748,Sendak; Maurice,fiction,0099408392,9780099408390,37,551687.0,4.22
Fifty Shades of Grey (Fifty Shades; #1),741,James; E.L.,fiction,1612130291,9781612130293,356,1298413.0,3.68
Moneyball: The Art of Winning an Unfair Game,740,Lewis; Michael,fiction,0393324818,9780393324815,317,62294.0,4.23
A Clockwork Orange,737,Burgess; Anthony,fiction,0393312836,9780393312836,192,404888.0,3.97
The Immortal Life of Henrietta Lacks,737,Skloot; Rebecca,fiction,1400052173,9781400052172,370,321842.0,4.02
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,730,Mortenson; Greg,fiction,0143038257,9780143038252,349,262694.0,3.63
Prince Caspian (Chronicles of Narnia; #2),727,Lewis; C.S.,fiction,000720230X,9780007202300,240,242208.0,3.95
Ameritopia: The Unmaking of America,727,Levin; Mark R.,non-fiction,,,,1854.0,4.28
Digital Fortress,722,Brown; Dan,fiction,0552151696,9780552151696,510,379548.0,3.57
The Secret Garden,722,Burnett; Frances Hodgson,fiction,0517189607,9780517189603,331,596897.0,4.11
Clear and Present Danger (Jack Ryan Universe; #6),720,Clancy; Tom,fiction,0425144372,9780425144374,688,97221.0,4.05
"Guilty: Liberal ""Victims"" and Their Assault on America",720,Coulter; Ann,non-fiction,0739328069,9780739328064,496,2031.0,3.59
Man's Search for Meaning,719,Frankl; Viktor E.,fiction,080701429X,9780807014295,165,139816.0,4.32
A Dance with Dragons (A Song of Ice and Fire; #5),718,Martin; George R.R.,fiction,,,"1,125",353568.0,4.28
The Call of the Wild,717,London; Jack,fiction,0439227143,9780439227148,172,215444.0,3.81
All Quiet on the Western Front,717,Remarque; Erich Maria,fiction,0449213943,9780449213940,296,214637.0,3.89
The World Is Flat: A Brief History of the Twenty-first Century,716,Friedman; Thomas L.,fiction,0374292795,9780374292799,616,74358.0,3.64
Interview with the Vampire (The Vampire Chronicles; #1),715,Rice; Anne,fiction,0345476875,9780345476876,342,367823.0,3.97
Timeline,706,Crichton; Michael,fiction,0099244721,9780099244721,489,140957.0,3.81
It,701,King; Stephen,fiction,0451169514,9780451169518,"1,093",381418.0,4.14
The Rainmaker,701,Grisham; John,fiction,0385339607,9780385339605,419,129199.0,3.89
The Guernsey Literary and Potato Peel Pie Society,700,Shaffer; Mary Ann,fiction,0385340990,9780385340991,274,375528.0,4.11
The Outsiders,697,Hinton; S.E.,fiction,014038572X,9780140385724,192,582984.0,4.04
Bossypants,696,Fey; Tina,fiction,1609419693,9781609419691,272,487926.0,3.94
East of Eden,692,Steinbeck; John,fiction,0142000655,9780142000656,601,298923.0,4.33
Foundation (Foundation; #1),689,Asimov; Isaac,fiction,0553803719,9780553803716,256,255847.0,4.09
Who Moved My Cheese?,688,Johnson; Spencer,fiction,0091883768,9780091883768,96,201565.0,3.68
The Poisonwood Bible,682,Kingsolver; Barbara,fiction,0060786507,9780060786502,546,515708.0,4.00
Culture Warrior,682,O'Reilly; Bill,non-fiction,0767920929,9780767920926,219,2516.0,3.64
Good to Great: Why Some Companies Make the Leap... and Others Don't,679,Collins; James C.,non-fiction,0066620996,9780066620992,320,71542.0,4.01
